Started at 2014-07-31 18:03:04

Updated: Classic Doctor Who, previous: 19s, 356c. Current: 19s, 356c.
Updated: Extant, previous: 1s, 3c. Current: 1s, 4c.

Ignored: 10 Things I Hate About You, stored: 2s, 27c. Got 2s, 27c.
Ignored: 100 Questions , stored: 1s, 6c. Got 1s, 6c.
Ignored: 1000 places to see before you die, stored: 1s, 1c. Got 1s, 1c.
Ignored: 1066: The Battle for Middle Earth, stored: 1s, 2c. Got 1s, 2c.
Ignored: 1600 Penn, stored: 1s, 13c. Got 1s, 13c.
Ignored: 18 to life, stored: 2s, 17c. Got 2s, 17c.
Ignored: 19 2, stored: 1s, 1c. Got 1s, 1c.
Ignored: 2 Broke Girls, stored: 3s, 71c. Got 3s, 71c.
Ignored: 24, stored: 3s, 63c. Got 3s, 63c.
Ignored: 30 Rock, stored: 7s, 126c. Got 7s, 126c.
Ignored: 32 Brinkburn Street, stored: 1s, 5c. Got 1s, 5c.
Ignored: 37 Days, stored: 1s, 3c. Got 1s, 3c.
Ignored: 666 Park Avenue, stored: 1s, 13c. Got 1s, 13c.
Ignored: 6Degrees, stored: 1s, 1c. Got 1s, 1c.
Ignored: 8 Simple rules, stored: 1s, 7c. Got 1s, 7c.
Ignored: 90210, stored: 5s, 114c. Got 5s, 114c.
Ignored: A Bit of Fry and Laurie, stored: 2s, 13c. Got 2s, 13c.
Ignored: A Gifted Man, stored: 1s, 16c. Got 1s, 16c.
Ignored: A Mothers Son, stored: 1s, 2c. Got 1s, 2c.
Ignored: A Passionate Woman , stored: 1s, 2c. Got 1s, 2c.
Ignored: A Place To Call Home, stored: 2s, 22c. Got 2s, 22c.
Ignored: A Touch of Cloth, stored: 2s, 4c. Got 2s, 4c.
Ignored: A Traveler's Guide to the Planets, stored: 1s, 6c. Got 1s, 6c.
Ignored: A Young Doctor's Notebook, stored: 2s, 8c. Got 2s, 8c.
Ignored: About a boy, stored: 1s, 13c. Got 1s, 13c.
Ignored: Above Suspicion, stored: 2s, 5c. Got 2s, 5c.
Ignored: Absolutely Fabulous, stored: 6s, 24c. Got 6s, 24c.
Ignored: Accidentally on Purpose, stored: 1s, 18c. Got 1s, 18c.
Ignored: Accused, stored: 2s, 10c. Got 2s, 10c.
Ignored: Adventure Time, stored: 5s, 24c. Got 5s, 24c.
Ignored: Africa (2013), stored: 1s, 6c. Got 1s, 6c.
Ignored: Against The Wall, stored: 1s, 13c. Got 1s, 13c.
Ignored: Agata Christie's Marple, stored: 3s, 5c. Got 3s, 5c.
Ignored: Agatha Christie's Poirot, stored: 1s, 5c. Got 1s, 5c.
Ignored: Aidan 5, stored: 1s, 16c. Got 1s, 16c.
Ignored: Alcatraz, stored: 1s, 13c. Got 1s, 13c.
Ignored: Alfred Hitchcock presents, stored: 1s, 2c. Got 1s, 2c.
Ignored: Alice, stored: 1s, 6c. Got 1s, 6c.
Ignored: Alice (2009), stored: 1s, 2c. Got 1s, 2c.
Ignored: All the Small Things, stored: 1s, 1c. Got 1s, 1c.
Ignored: All Watched Over by Machines of Loving Grace, stored: 1s, 3c. Got 1s, 3c.
Ignored: Allen Gregory, stored: 1s, 7c. Got 1s, 7c.
Ignored: Almost Heroes, stored: 1s, 8c. Got 1s, 8c.
Ignored: Almost Human, stored: 1s, 13c. Got 1s, 13c.
Ignored: Almost Royal, stored: 1s, 1c. Got 1s, 1c.
Ignored: Alpha House, stored: 1s, 6c. Got 1s, 6c.
Ignored: Alphas, stored: 2s, 24c. Got 2s, 24c.
Ignored: Ambassadors, stored: 1s, 3c. Got 1s, 3c.
Ignored: Amber, stored: 1s, 4c. Got 1s, 4c.
Ignored: America In Primetime, stored: 1s, 2c. Got 1s, 2c.
Ignored: American Dad, stored: 7s, 115c. Got 7s, 115c.
Ignored: American Horror Story, stored: 3s, 38c. Got 3s, 38c.
Ignored: American Idol, stored: 5s, 13c. Got 5s, 13c.
Ignored: American Masters, stored: 1s, 1c. Got 1s, 1c.
Ignored: An Idiot Abroad, stored: 3s, 12c. Got 3s, 12c.
Ignored: Ancient Aliens (2010), stored: 6s, 76c. Got 6s, 76c.
Ignored: Andromeda, stored: 1s, 4c. Got 1s, 4c.
Ignored: Anger Management, stored: 2s, 72c. Got 2s, 72c.
Ignored: Angry Boys, stored: 1s, 3c. Got 1s, 3c.
Ignored: Angry Kid, stored: 1s, 8c. Got 1s, 8c.
Ignored: Animal Practice, stored: 1s, 6c. Got 1s, 6c.
Ignored: Anno 1790, stored: 1s, 3c. Got 1s, 3c.
Ignored: Any Human Heart, stored: 1s, 3c. Got 1s, 3c.
Ignored: Apparitions, stored: 1s, 6c. Got 1s, 6c.
Ignored: Appropriate Adult, stored: 1s, 2c. Got 1s, 2c.
Ignored: Archer, stored: 5s, 57c. Got 5s, 57c.
Ignored: Arctic Air, stored: 1s, 1c. Got 1s, 1c.
Ignored: Are we there yet, stored: 2s, 14c. Got 2s, 14c.
Ignored: Are you the one, stored: 1s, 1c. Got 1s, 1c.
Ignored: Are you there, Chelsea?, stored: 1s, 12c. Got 1s, 12c.
Ignored: Aristocrats, stored: 1s, 5c. Got 1s, 5c.
Ignored: Army Wives, stored: 7s, 117c. Got 7s, 117c.
Ignored: Arrested Development, stored: 4s, 68c. Got 4s, 68c.
Ignored: Arrow, stored: 2s, 47c. Got 2s, 47c.
Ignored: Artifact, stored: 1s, 1c. Got 1s, 1c.
Ignored: Ashes to Ashes, stored: 3s, 24c. Got 3s, 24c.
Ignored: Assassins Creed: Lineage, stored: 1s, 2c. Got 1s, 2c.
Ignored: Atlantis, stored: 1s, 1c. Got 1s, 1c.
Ignored: Atlantis (2013), stored: 1s, 13c. Got 1s, 13c.
Ignored: Avengers Assemble, stored: 1s, 16c. Got 1s, 16c.
Ignored: Avengers Earth's Mightiest Heroes, stored: 2s, 52c. Got 2s, 52c.
Ignored: Awake, stored: 1s, 13c. Got 1s, 13c.
Ignored: Awkward, stored: 4s, 52c. Got 4s, 52c.
Ignored: Axe Cop, stored: 1s, 12c. Got 1s, 12c.
Ignored: Baby Daddy, stored: 3s, 47c. Got 3s, 47c.
Ignored: Babylon, stored: 1s, 1c. Got 1s, 1c.
Ignored: Bachelor Pad, stored: 1s, 4c. Got 1s, 4c.
Ignored: Back in the Game, stored: 1s, 13c. Got 1s, 13c.
Ignored: Backpackers, stored: 1s, 2c. Got 1s, 2c.
Ignored: Bad Education, stored: 2s, 13c. Got 2s, 13c.
Ignored: Bad Girls, stored: 5s, 47c. Got 5s, 47c.
Ignored: Bad Sugar, stored: 1s, 1c. Got 1s, 1c.
Ignored: Bad Teacher, stored: 1s, 13c. Got 1s, 13c.
Ignored: Band of Brothers, stored: 1s, 10c. Got 1s, 10c.
Ignored: Banshee, stored: 2s, 20c. Got 2s, 20c.
Ignored: Banshee Origins, stored: 2s, 24c. Got 2s, 24c.
Ignored: Bar Karma, stored: 1s, 12c. Got 1s, 12c.
Ignored: Bates Motel, stored: 2s, 20c. Got 2s, 20c.
Ignored: Batman The Brave and the Bold, stored: 2s, 18c. Got 2s, 18c.
Ignored: Battlestar Galactica, stored: 8s, 69c. Got 8s, 69c.
Ignored: Battlestar Galactica Blood and Chrome, stored: 1s, 6c. Got 1s, 6c.
Ignored: BBC A History of Christianity, stored: 1s, 6c. Got 1s, 6c.
Ignored: BBC Amazon With Bruce Parry, stored: 1s, 6c. Got 1s, 6c.
Ignored: BBC Archaeology A secret history, stored: 1s, 3c. Got 1s, 3c.
Ignored: BBC Bibles Buried Secrets, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC Earthflight, stored: 1s, 6c. Got 1s, 6c.
Ignored: BBC Frozen Planet, stored: 1s, 7c. Got 1s, 7c.
Ignored: BBC Hidden Kingdoms, stored: 1s, 3c. Got 1s, 3c.
Ignored: BBC Himalaya with Michael Palin, stored: 1s, 6c. Got 1s, 6c.
Ignored: BBC How Earth Made Us, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC Ice Age Giants 2013, stored: 1s, 3c. Got 1s, 3c.
Ignored: BBC Lost Kingdoms of South America (2013), stored: 1s, 4c. Got 1s, 4c.
Ignored: BBC Madagascar, stored: 1s, 3c. Got 1s, 3c.
Ignored: BBC Medieval Lives, stored: 1s, 9c. Got 1s, 9c.
Ignored: BBC Natures Microworlds 2012, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC Our Secret Universe The Hidden Life of the Cell, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC Pandora's Box, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC Panorama, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC Penguins Spy in the Huddle (2013), stored: 1s, 2c. Got 1s, 2c.
Ignored: BBC Planet Dinosaur, stored: 1s, 5c. Got 1s, 5c.
Ignored: BBC Simon Schama's Power of Art, stored: 1s, 8c. Got 1s, 8c.
Ignored: BBC Tales from the jungle, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC The Cell, stored: 1s, 3c. Got 1s, 3c.
Ignored: BBC The Death Of Yugoslavia, stored: 1s, 6c. Got 1s, 6c.
Ignored: BBC The Real White Queen and Her Rivals, stored: 1s, 2c. Got 1s, 2c.
Ignored: BBC The Revolution Will Be Televised, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC To the Ends Of The Earth, stored: 1s, 1c. Got 1s, 1c.
Ignored: BBC Victorian Pharmacy, stored: 1s, 4c. Got 1s, 4c.
Ignored: BBC Wallace and Gromits World of Invention, stored: 1s, 6c. Got 1s, 6c.
Ignored: BBC Wild Arabia, stored: 1s, 3c. Got 1s, 3c.
Ignored: Beast Legends, stored: 1s, 1c. Got 1s, 1c.
Ignored: Beautiful people, stored: 2s, 12c. Got 2s, 12c.
Ignored: Beauty and the Beast, stored: 2s, 44c. Got 2s, 44c.
Ignored: Beaver Falls, stored: 2s, 11c. Got 2s, 11c.
Ignored: Beavis and Butthead, stored: 1s, 12c. Got 1s, 12c.
Ignored: Becker, stored: 1s, 1c. Got 1s, 1c.
Ignored: Becoming Human, stored: 1s, 1c. Got 1s, 1c.
Ignored: Bedlam, stored: 2s, 12c. Got 2s, 12c.
Ignored: Being Erica, stored: 4s, 49c. Got 4s, 49c.
Ignored: Being Human, stored: 5s, 36c. Got 5s, 36c.
Ignored: Being Human (US), stored: 4s, 52c. Got 4s, 52c.
Ignored: Being Mary Jane, stored: 1s, 2c. Got 1s, 2c.
Ignored: Believe, stored: 1s, 13c. Got 1s, 13c.
Ignored: Belles, stored: 1s, 2c. Got 1s, 2c.
Ignored: Belphegor, stored: 1s, 4c. Got 1s, 4c.
Ignored: Ben 10 Omniverse, stored: 2s, 6c. Got 2s, 6c.
Ignored: Ben 10 Ultimate Alien, stored: 2s, 49c. Got 2s, 49c.
Ignored: Ben and Kate, stored: 1s, 17c. Got 1s, 17c.
Ignored: Ben Hur (2010), stored: 1s, 2c. Got 1s, 2c.
Ignored: Bent, stored: 1s, 6c. Got 1s, 6c.
Ignored: Best Friends Forever, stored: 1s, 6c. Got 1s, 6c.
Ignored: Betrayal, stored: 1s, 13c. Got 1s, 13c.
Ignored: Better Off Ted, stored: 2s, 26c. Got 2s, 26c.
Ignored: Better With You, stored: 1s, 22c. Got 1s, 22c.
Ignored: Beverly Hills 90210, stored: 5s, 138c. Got 5s, 138c.
Ignored: Beware the Batman, stored: 1s, 12c. Got 1s, 12c.
Ignored: Bewitched, stored: 1s, 1c. Got 1s, 1c.
Ignored: Big Lake, stored: 1s, 6c. Got 1s, 6c.
Ignored: Big Love, stored: 5s, 53c. Got 5s, 53c.
Ignored: Big School, stored: 1s, 6c. Got 1s, 6c.
Ignored: Big Time Rush, stored: 1s, 4c. Got 1s, 4c.
Ignored: Big Train, stored: 1s, 4c. Got 1s, 4c.
Ignored: Birdsong, stored: 1s, 2c. Got 1s, 2c.
Ignored: Bitten, stored: 1s, 13c. Got 1s, 13c.
Ignored: Black Books, stored: 3s, 18c. Got 3s, 18c.
Ignored: Black Box, stored: 1s, 12c. Got 1s, 12c.
Ignored: Black Dynamite, stored: 1s, 1c. Got 1s, 1c.
Ignored: Black Dynamite: The Animated Series, stored: 1s, 1c. Got 1s, 1c.
Ignored: Black Mirror, stored: 2s, 6c. Got 2s, 6c.
Ignored: Black Sails, stored: 1s, 8c. Got 1s, 8c.
Ignored: Blackadder, stored: 1s, 5c. Got 1s, 5c.
Ignored: Blackout, stored: 1s, 3c. Got 1s, 3c.
Ignored: Blackout (2013), stored: 1s, 1c. Got 1s, 1c.
Ignored: Blandings, stored: 1s, 1c. Got 1s, 1c.
Ignored: Blue Bloods, stored: 4s, 89c. Got 4s, 89c.
Ignored: Blue Mountain State, stored: 3s, 38c. Got 3s, 38c.
Ignored: Bluestone 42, stored: 2s, 10c. Got 2s, 10c.
Ignored: Boardwalk Empire, stored: 4s, 48c. Got 4s, 48c.
Ignored: Bob Servant Independent, stored: 1s, 1c. Got 1s, 1c.
Ignored: Bob's Burgers, stored: 4s, 67c. Got 4s, 67c.
Ignored: Body of Proof, stored: 3s, 42c. Got 3s, 42c.
Ignored: Bomb Girls, stored: 2s, 18c. Got 2s, 18c.
